YEAR,TEAM,PAYROLL,DIVISION,WINS,LOSSES,*DATA COURTESY OF BASEBALL REFERENCE & STEVETHEUMP.COM*
2016,Dodgers,"$223,352,402",NL West,91,71,
2017,Dodgers,"$242,065,828",NL West,104,58,
2018,Dodgers,"$186,140,000",NL West,92,71,
2019,Dodgers,"$196,729,548",NL West,106,56,
2020,Dodgers,"$105,747,176",NL West,43,17,
2021,Dodgers,"$235,412,876",NL West,106,56,
2022,Dodgers,"$277,108,333",NL West,111,51,
2023,Dodgers,"$218,332,634",NL West,100,62,
2024,Dodgers,"$220,691,666",NL West,98,64,
2025,Dodgers,"$331,013,580",NL West,93,69,
2016,Yankees,"$213,472,857",AL East,84,78,
2017,Yankees,"$201,539,699",AL East,91,71,
2018,Yankees,"$168,540,000",AL East,100,62,
2019,Yankees,"$208,084,848",AL East,103,59,
2020,Yankees,"$110,852,878",AL East,33,27,
2021,Yankees,"$191,205,631",AL East,92,70,
2022,Yankees,"$240,290,714",AL East,99,63,
2023,Yankees,"$268,954,047",AL East,82,80,
2024,Yankees,"$293,666,666",AL East,94,68,
2025,Yankees,"$287,547,080",AL East,94,68,
2016,Red Sox,"$182,161,414",AL East,93,69,
2017,Red Sox,"$199,805,178",AL East,93,69,
2018,Red Sox,"$235,650,000",AL East,108,54,
2019,Red Sox,"$222,171,123",AL East,84,78,
2020,Red Sox,"$84,478,422",AL East,24,36,
2021,Red Sox,"$180,261,996",AL East,92,70,
2022,Red Sox,"$195,166,000",AL East,78,84,
2023,Red Sox,"$175,783,182",AL East,78,84,
2024,Red Sox,"$162,324,847",AL East,81,81,
2025,Red Sox,"$197,964,402",AL East,89,73,
2016,Tigers,"$172,282,250",AL Central,86,75,
2017,Tigers,"$199,750,600",AL Central,64,98,
2018,Tigers,"$129,920,000",AL Central,64,98,
2019,Tigers,"$116,478,400",AL Central,47,114,
2020,Tigers,"$43,069,928",AL Central,23,35,
2021,Tigers,"$80,398,600",AL Central,77,85,
2022,Tigers,"$116,040,000",AL Central,66,96,
2023,Tigers,"$105,338,500",AL Central,78,84,
2024,Tigers,"$95,073,933",AL Central,86,76,
2025,Tigers,"$143,669,965",AL Central,87,75,
2016,Giants,"$166,495,942",NL West,87,75,
2017,Giants,"$172,354,611",NL West,64,98,
2018,Giants,"$208,510,000",NL West,73,89,
2019,Giants,"$178,286,222",NL West,77,85,
2020,Giants,"$71,170,857",NL West,29,31,
2021,Giants,"$127,889,903",NL West,107,55,
2022,Giants,"$142,292,500",NL West,81,81,
2023,Giants,"$175,590,000",NL West,79,83,
2024,Giants,"$188,767,909",NL West,80,82,
2025,Giants,"$169,919,523",NL West,81,81,
2016,Nationals,"$166,010,977",NL East,95,67,
2017,Nationals,"$167,846,918",NL East,97,65,
2018,Nationals,"$181,590,000",NL East,82,80,
2019,Nationals,"$161,877,935",NL East,93,69,
2020,Nationals,"$66,525,837",NL East,26,34,
2021,Nationals,"$161,907,528",NL East,65,97,
2022,Nationals,"$114,623,095",NL East,55,107,
2023,Nationals,"$79,983,095",NL East,71,91,
2024,Nationals,"$95,371,429",NL East,71,91,
2025,Nationals,"$113,027,012",NL East,66,96,
2016,Angels,"$146,449,583",AL West,74,88,
2017,Angels,"$160,375,333",AL West,80,82,
2018,Angels,"$175,100,000",AL West,80,82,
2019,Angels,"$159,378,583",AL West,72,90,
2020,Angels,"$69,282,429",AL West,26,34,
2021,Angels,"$177,353,000",AL West,77,85,
2022,Angels,"$169,413,094",AL West,73,89,
2023,Angels,"$204,088,094",AL West,73,89,
2024,Angels,"$158,818,094",AL West,63,99,
2025,Angels,"$192,402,601",AL West,72,90,
2016,Rangers,"$144,307,373",AL West,95,67,
2017,Rangers,"$175,909,063",AL West,78,84,
2018,Rangers,"$144,000,000",AL West,67,95,
2019,Rangers,"$127,660,652",AL West,78,84,
2020,Rangers,"$63,687,408",AL West,22,38,
2021,Rangers,"$84,868,750",AL West,60,102,
2022,Rangers,"$134,961,333",AL West,68,94,
2023,Rangers,"$183,578,160",AL West,90,72,
2024,Rangers,"$221,955,000",AL West,78,84,
2025,Rangers,"$214,389,983",AL West,81,81,
2016,Phillies,"$133,048,000",NL East,71,91,
