YEAR,TEAM,PAYROLL,DIVISION,WINS,LOSSES,*DATA COURTESY OF BASEBALL REFERENCE & STEVETHEUMP.COM*
2016,Dodgers,223.4M,NL West,91,71,
2017,Dodgers,242.1M,NL West,104,58,
2018,Dodgers,186.1M,NL West,92,71,
2019,Dodgers,196.7M,NL West,106,56,
2020,Dodgers,105.7M,NL West,43,17,
2021,Dodgers,235.4M,NL West,106,56,
2022,Dodgers,277.1M,NL West,111,51,
2023,Dodgers,218.3M,NL West,100,62,
2024,Dodgers,220.7M,NL West,98,64,
2025,Dodgers,331.0M,NL West,93,69,
2016,Yankees,213.5M,AL East,84,78,
2017,Yankees,201.5M,AL East,91,71,
2018,Yankees,168.5M,AL East,100,62,
2019,Yankees,208.1M,AL East,103,59,
2020,Yankees,110.9M,AL East,33,27,
2021,Yankees,191.2M,AL East,92,70,
2022,Yankees,240.3M,AL East,99,63,
2023,Yankees,269.0M,AL East,82,80,
2024,Yankees,293.7M,AL East,94,68,
2025,Yankees,287.5M,AL East,94,68,
2016,Red Sox,182.2M,AL East,93,69,
2017,Red Sox,199.8M,AL East,93,69,
2018,Red Sox,235.7M,AL East,108,54,
2019,Red Sox,222.2M,AL East,84,78,
2020,Red Sox,84.5M,AL East,24,36,
2021,Red Sox,180.3M,AL East,92,70,
2022,Red Sox,195.2M,AL East,78,84,
2023,Red Sox,175.8M,AL East,78,84,
2024,Red Sox,162.3M,AL East,81,81,
2025,Red Sox,198.0M,AL East,89,73,
2016,Tigers,172.3M,AL Central,86,75,
2017,Tigers,199.8M,AL Central,64,98,
2018,Tigers,129.9M,AL Central,64,98,
2019,Tigers,116.5M,AL Central,47,114,
2020,Tigers,43.1M,AL Central,23,35,
2021,Tigers,80.4M,AL Central,77,85,
2022,Tigers,116.0M,AL Central,66,96,
2023,Tigers,105.3M,AL Central,78,84,
2024,Tigers,95.1M,AL Central,86,76,
2025,Tigers,143.7M,AL Central,87,75,
2016,Giants,166.5M,NL West,87,75,
2017,Giants,172.4M,NL West,64,98,
2018,Giants,208.5M,NL West,73,89,
2019,Giants,178.3M,NL West,77,85,
2020,Giants,71.2M,NL West,29,31,
2021,Giants,127.9M,NL West,107,55,
2022,Giants,142.3M,NL West,81,81,
2023,Giants,175.6M,NL West,79,83,
2024,Giants,188.8M,NL West,80,82,
2025,Giants,169.9M,NL West,81,81,
2016,Nationals,166.0M,NL East,95,67,
2017,Nationals,167.8M,NL East,97,65,
2018,Nationals,181.6M,NL East,82,80,
2019,Nationals,161.9M,NL East,93,69,
2020,Nationals,66.5M,NL East,26,34,
2021,Nationals,161.9M,NL East,65,97,
2022,Nationals,114.6M,NL East,55,107,
2023,Nationals,80.0M,NL East,71,91,
2024,Nationals,95.4M,NL East,71,91,
2025,Nationals,113.0M,NL East,66,96,
2016,Angels,146.4M,AL West,74,88,
2017,Angels,160.4M,AL West,80,82,
2018,Angels,175.1M,AL West,80,82,
2019,Angels,159.4M,AL West,72,90,
2020,Angels,69.3M,AL West,26,34,
2021,Angels,177.4M,AL West,77,85,
2022,Angels,169.4M,AL West,73,89,
2023,Angels,204.1M,AL West,73,89,
2024,Angels,158.8M,AL West,63,99,
2025,Angels,192.4M,AL West,72,90,
2016,Rangers,144.3M,AL West,95,67,
2017,Rangers,175.9M,AL West,78,84,
2018,Rangers,144.0M,AL West,67,95,
2019,Rangers,127.7M,AL West,78,84,
