YEAR,TEAM,PAYROLL (in millions),DIVISION,WINS,LOSSES
2016,Dodgers,$223.35,NL West,91,71
2017,Dodgers,$242.07,NL West,104,58
2018,Dodgers,$186.14,NL West,92,71
2019,Dodgers,$196.73,NL West,106,56
2020,Dodgers,$105.75,NL West,43,17
2021,Dodgers,$235.41,NL West,106,56
2022,Dodgers,$277.11,NL West,111,51
2023,Dodgers,$218.33,NL West,100,62
2024,Dodgers,$220.69,NL West,98,64
2025,Dodgers,$331.01,NL West,93,69
2016,Yankees,$213.47,AL East,84,78
2017,Yankees,$201.54,AL East,91,71
2018,Yankees,$168.54,AL East,100,62
2019,Yankees,$208.08,AL East,103,59
2020,Yankees,$110.85,AL East,33,27
2021,Yankees,$191.21,AL East,92,70
2022,Yankees,$240.29,AL East,99,63
2023,Yankees,$268.95,AL East,82,80
2024,Yankees,$293.67,AL East,94,68
2025,Yankees,$287.55,AL East,94,68
2016,Red Sox,$182.16,AL East,93,69
2017,Red Sox,$199.81,AL East,93,69
2018,Red Sox,$235.65,AL East,108,54
2019,Red Sox,$222.17,AL East,84,78
2020,Red Sox,$84.48,AL East,24,36
2021,Red Sox,$180.26,AL East,92,70
2022,Red Sox,$195.17,AL East,78,84
2023,Red Sox,$175.78,AL East,78,84
2024,Red Sox,$162.32,AL East,81,81
2025,Red Sox,$197.96,AL East,89,73
2016,Tigers,$172.28,AL Central,86,75
2017,Tigers,$199.75,AL Central,64,98
2018,Tigers,$129.92,AL Central,64,98
2019,Tigers,$116.48,AL Central,47,114
2020,Tigers,$43.07,AL Central,23,35
2021,Tigers,$80.40,AL Central,77,85
2022,Tigers,$116.04,AL Central,66,96
2023,Tigers,$105.34,AL Central,78,84
2024,Tigers,$95.07,AL Central,86,76
2025,Tigers,$143.67,AL Central,87,75
2016,Giants,$166.50,NL West,87,75
2017,Giants,$172.35,NL West,64,98
2018,Giants,$208.51,NL West,73,89
2019,Giants,$178.29,NL West,77,85
2020,Giants,$71.17,NL West,29,31
2021,Giants,$127.89,NL West,107,55
2022,Giants,$142.29,NL West,81,81
2023,Giants,$175.59,NL West,79,83
2024,Giants,$188.77,NL West,80,82
2025,Giants,$169.92,NL West,81,81
2016,Nationals,$166.01,NL East,95,67
2017,Nationals,$167.85,NL East,97,65
2018,Nationals,$181.59,NL East,82,80
2019,Nationals,$161.88,NL East,93,69
2020,Nationals,$66.53,NL East,26,34
2021,Nationals,$161.91,NL East,65,97
2022,Nationals,$114.62,NL East,55,107
2023,Nationals,$79.98,NL East,71,91
2024,Nationals,$95.37,NL East,71,91
2025,Nationals,$113.02,NL East,66,96
2016,Angels,$146.45,AL West,74,88
2017,Angels,$160.38,AL West,80,82
2018,Angels,$175.10,AL West,80,82
2019,Angels,$159.38,AL West,72,90
2020,Angels,$69.28,AL West,26,34
2021,Angels,$177.35,AL West,77,85
2022,Angels,$169.41,AL West,73,89
2023,Angels,$204.09,AL West,73,89
2024,Angels,$158.82,AL West,63,99
2025,Angels,$192.40,AL West,72,90
2016,Rangers,$144.31,AL West,95,67
2017,Rangers,$175.91,AL West,78,84
2018,Rangers,$144.00,AL West,67,95
2019,Rangers,$127.66,AL West,78,84
2020,Rangers,$63.69,AL West,22,38
2021,Rangers,$84.87,AL West,60,102
2022,Rangers,$134.96,AL West,68,94
2023,Rangers,$183.58,AL West,90,72
2024,Rangers,$221.96,AL West,78,84
2025,Rangers,$214.39,AL West,81,81
2016,Phillies,$133.05,NL East,71,91
2017,Phillies,$111.38,NL East,66,96
2018,Phillies,$96.85,NL East,80,82
2019,Phillies,$140.71,NL East,81,81
2020,Phillies,$74.60,NL East,28,32
2021,Phillies,$174.01,NL East,82,80
2022,Phillies,$221.74,NL East,87,75
2023,Phillies,$232.42,NL East,90,72
2024,Phillies,$236.18,NL East,95,67
2025,Phillies,$283.23,NL East,96,66
2016,Blue Jays,$126.37,AL East,89,73
2017,Blue Jays,$177.80,AL East,76,86
2018,Blue Jays,$162.32,AL East,73,89
2019,Blue Jays,$112.04,AL East,67,95
2020,Blue Jays,$50.99,AL East,32,28
2021,Blue Jays,$137.13,AL East,91,71
2022,Blue Jays,$168.07,AL East,92,70
2023,Blue Jays,$205.68,AL East,89,73
2024,Blue Jays,$221.88,AL East,74,88
2025,Blue Jays,$243.33,AL East,94,68
2016,Mariners,$122.71,AL West,86,76
2017,Mariners,$154.80,AL West,78,84
2018,Mariners,$162.48,AL West,89,73
2019,Mariners,$150.91,AL West,68,94
2020,Mariners,$48.42,AL West,27,33
2021,Mariners,$64.55,AL West,90,72
2022,Mariners,$92.75,AL West,90,72
2023,Mariners,$129.81,AL West,88,74
2024,Mariners,$129.16,AL West,85,77
2025,Mariners,$147.90,AL West,90,72
2016,Cardinals,$120.30,NL Central,86,76
2017,Cardinals,$152.45,NL Central,83,79
2018,Cardinals,$161.01,NL Central,88,74
2019,Cardinals,$162.83,NL Central,91,71
2020,Cardinals,$70.45,NL Central,30,28
2021,Cardinals,$135.05,NL Central,90,72
2022,Cardinals,$150.75,NL Central,93,69
2023,Cardinals,$147.77,NL Central,71,91
2024,Cardinals,$164.30,NL Central,83,79
2025,Cardinals,$135.86,NL Central,78,84
2016,Reds,$116.73,NL Central,68,94
2017,Reds,$93.77,NL Central,68,94
2018,Reds,$101.19,NL Central,67,95
2019,Reds,$126.42,NL Central,75,87
2020,Reds,$53.32,NL Central,31,29
2021,Reds,$118.75,NL Central,83,79
2022,Reds,$99.58,NL Central,62,100
2023,Reds,$86.37,NL Central,82,80
2024,Reds,$88.12,NL Central,77,85
2025,Reds,$116.67,NL Central,83,79
