YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2016,Bills,"$159,660,951",AFC East,7,9,
2017,Bills,"$149,018,144",AFC East,9,7,
2018,Bills,"$154,411,721",AFC East,6,10,
2019,Bills,"$186,325,681",AFC East,10,6,
2020,Bills,"$223,199,805",AFC East,13,3,
2021,Bills,"$225,572,753",AFC East,11,6,
2022,Bills,"$276,215,561",AFC East,13,3,
2023,Bills,"$282,383,776",AFC East,11,6,
2024,Bills,"$285,254,387",AFC East,13,4,
2025,Bills,"$342,529,522",AFC East,12,5,
2016,Patriots,"$139,950,857",AFC East,14,2,
2017,Patriots,"$179,914,574",AFC East,13,3,
2018,Patriots,"$178,233,398",AFC East,11,5,
2019,Patriots,"$202,169,339",AFC East,12,4,
2020,Patriots,"$164,101,399",AFC East,7,9,
2021,Patriots,"$235,117,142",AFC East,10,7,
2022,Patriots,"$209,880,018",AFC East,8,9,
2023,Patriots,"$196,726,112",AFC East,4,13,
2024,Patriots,"$284,813,446",AFC East,4,13,
2025,Patriots,"$314,469,647",AFC East,14,3,
2016,Dolphins,"$142,419,015",AFC East,10,6,
2017,Dolphins,"$188,287,167",AFC East,6,10,
2018,Dolphins,"$173,920,276",AFC East,7,9,
2019,Dolphins,"$156,302,991",AFC East,5,11,
2020,Dolphins,"$232,291,981",AFC East,10,6,
2021,Dolphins,"$208,174,725",AFC East,9,8,
2022,Dolphins,"$255,104,351",AFC East,9,8,
2023,Dolphins,"$263,561,460",AFC East,11,6,
2024,Dolphins,"$319,354,056",AFC East,8,9,
2025,Dolphins,"$313,481,202",AFC East,7,10,
2016,Jets,"$173,079,230",AFC East,5,11,
2017,Jets,"$139,359,697",AFC East,5,11,
2018,Jets,"$183,729,725",AFC East,4,12,
2019,Jets,"$203,530,286",AFC East,7,9,
2020,Jets,"$179,996,030",AFC East,2,14,
2021,Jets,"$202,644,165",AFC East,4,13,
2022,Jets,"$259,563,473",AFC East,7,10,
2023,Jets,"$280,772,888",AFC East,7,10,
2024,Jets,"$268,699,891",AFC East,5,12,
2025,Jets,"$256,729,808",AFC East,3,14,
2016,Ravens,"$166,564,787",AFC North,8,8,
2017,Ravens,"$157,252,499",AFC North,9,7,
2018,Ravens,"$146,906,785",AFC North,10,6,
2019,Ravens,"$193,752,805",AFC North,14,2,
2020,Ravens,"$222,434,858",AFC North,11,5,
2021,Ravens,"$216,226,724",AFC North,8,9,
2022,Ravens,"$226,311,178",AFC North,10,7,
2023,Ravens,"$292,495,423",AFC North,13,4,
2024,Ravens,"$256,950,391",AFC North,12,5,
2025,Ravens,"$313,515,794",AFC North,8,9,
2016,Steelers,"$144,766,420",AFC North,11,5,
2017,Steelers,"$161,989,871",AFC North,13,3,
2018,Steelers,"$177,698,474",AFC North,9,6,
2019,Steelers,"$205,333,498",AFC North,8,8,
2020,Steelers,"$187,050,048",AFC North,12,4,
2021,Steelers,"$181,265,051",AFC North,9,7,
2022,Steelers,"$228,506,255",AFC North,9,8,
2023,Steelers,"$231,571,187",AFC North,10,7,
2024,Steelers,"$225,450,918",AFC North,10,7,
2025,Steelers,"$304,986,854",AFC North,10,7,
2016,Bengals,"$152,182,772",AFC North,6,9,
2017,Bengals,"$160,393,369",AFC North,7,9,
2018,Bengals,"$187,924,444",AFC North,6,10,
2019,Bengals,"$198,047,314",AFC North,2,14,
2020,Bengals,"$234,563,871",AFC North,4,11,
2021,Bengals,"$196,906,290",AFC North,10,7,
2022,Bengals,"$193,357,804",AFC North,12,4,
2023,Bengals,"$258,778,192",AFC North,9,8,
2024,Bengals,"$289,496,089",AFC North,9,8,
2025,Bengals,"$293,299,482",AFC North,6,11,
