YEAR,TEAM,TEAM SPENDING,DIVISION,WINS,LOSSES,* DATA COURTESY OF FOOTBALL REFERENCE & SPOTRAC*
2016,Bills,159.7M,AFC East,7,9,
2017,Bills,149.0M,AFC East,9,7,
2018,Bills,154.4M,AFC East,6,10,
2019,Bills,186.3M,AFC East,10,6,
2020,Bills,223.2M,AFC East,13,3,
2021,Bills,225.6M,AFC East,11,6,
2022,Bills,276.2M,AFC East,13,3,
2023,Bills,282.4M,AFC East,11,6,
2024,Bills,285.3M,AFC East,13,4,
2025,Bills,342.5M,AFC East,12,5,
2016,Patriots,140.0M,AFC East,14,2,
2017,Patriots,179.9M,AFC East,13,3,
2018,Patriots,178.2M,AFC East,11,5,
2019,Patriots,202.2M,AFC East,12,4,
2020,Patriots,164.1M,AFC East,7,9,
2021,Patriots,235.1M,AFC East,10,7,
2022,Patriots,209.9M,AFC East,8,9,
2023,Patriots,196.7M,AFC East,4,13,
2024,Patriots,284.8M,AFC East,4,13,
2025,Patriots,314.5M,AFC East,14,3,
2016,Dolphins,142.4M,AFC East,10,6,
2017,Dolphins,188.3M,AFC East,6,10,
2018,Dolphins,173.9M,AFC East,7,9,
2019,Dolphins,156.3M,AFC East,5,11,
2020,Dolphins,232.3M,AFC East,10,6,
2021,Dolphins,208.2M,AFC East,9,8,
2022,Dolphins,255.1M,AFC East,9,8,
2023,Dolphins,263.6M,AFC East,11,6,
2024,Dolphins,319.4M,AFC East,8,9,
2025,Dolphins,313.5M,AFC East,7,10,
2016,Jets,173.1M,AFC East,5,11,
2017,Jets,139.4M,AFC East,5,11,
2018,Jets,183.7M,AFC East,4,12,
2019,Jets,203.5M,AFC East,7,9,
2020,Jets,180.0M,AFC East,2,14,
2021,Jets,202.6M,AFC East,4,13,
2022,Jets,259.6M,AFC East,7,10,
2023,Jets,280.8M,AFC East,7,10,
2024,Jets,268.7M,AFC East,5,12,
2025,Jets,256.7M,AFC East,3,14,
2016,Ravens,166.6M,AFC North,8,8,
2017,Ravens,157.3M,AFC North,9,7,
2018,Ravens,146.9M,AFC North,10,6,
2019,Ravens,193.8M,AFC North,14,2,
2020,Ravens,222.4M,AFC North,11,5,
2021,Ravens,216.2M,AFC North,8,9,
2022,Ravens,226.3M,AFC North,10,7,
2023,Ravens,292.5M,AFC North,13,4,
2024,Ravens,257.0M,AFC North,12,5,
2025,Ravens,313.5M,AFC North,8,9,
2016,Steelers,144.8M,AFC North,11,5,
2017,Steelers,162.0M,AFC North,13,3,
2018,Steelers,177.7M,AFC North,9,6,
2019,Steelers,205.3M,AFC North,8,8,
2020,Steelers,187.1M,AFC North,12,4,
2021,Steelers,181.3M,AFC North,9,7,
2022,Steelers,228.5M,AFC North,9,8,
2023,Steelers,231.6M,AFC North,10,7,
2024,Steelers,225.5M,AFC North,10,7,
2025,Steelers,305.0M,AFC North,10,7,
2016,Bengals,152.2M,AFC North,6,9,
2017,Bengals,160.4M,AFC North,7,9,
2018,Bengals,187.9M,AFC North,6,10,
2019,Bengals,198.0M,AFC North,2,14,
2020,Bengals,234.6M,AFC North,4,11,
2021,Bengals,196.9M,AFC North,10,7,
2022,Bengals,193.4M,AFC North,12,4,
2023,Bengals,258.8M,AFC North,9,8,
2024,Bengals,289.5M,AFC North,9,8,
2025,Bengals,293.3M,AFC North,6,11,
2016,Browns,114.9M,AFC North,1,15,
2017,Browns,185.5M,AFC North,0,16,
2018,Browns,207.1M,AFC North,7,8,
2019,Browns,183.3M,AFC North,6,10,
2020,Browns,225.3M,AFC North,11,5,
2021,Browns,238.9M,AFC North,8,9,
2022,Browns,278.1M,AFC North,7,10,
2023,Browns,293.5M,AFC North,11,6,
2024,Browns,345.7M,AFC North,3,14,
2025,Browns,319.7M,AFC North,5,12,
2016,Texans,147.1M,AFC South,9,7,
2017,Texans,141.3M,AFC South,4,12,
2018,Texans,163.0M,AFC South,11,5,
2019,Texans,202.6M,AFC South,10,6,
2020,Texans,261.7M,AFC South,4,12,
2021,Texans,185.9M,AFC South,4,13,
2022,Texans,207.7M,AFC South,3,13,
2023,Texans,282.4M,AFC South,10,7,
2024,Texans,295.8M,AFC South,10,7,
2025,Texans,310.9M,AFC South,12,5,
2016,Colts,158.9M,AFC South,8,8,
2017,Colts,155.8M,AFC South,4,12,
2018,Colts,147.2M,AFC South,10,6,
2019,Colts,192.8M,AFC South,7,9,
2020,Colts,221.8M,AFC South,11,5,
2021,Colts,223.6M,AFC South,9,8,
2022,Colts,219.9M,AFC South,4,12,
2023,Colts,239.6M,AFC South,9,8,
2024,Colts,259.3M,AFC South,8,9,
2025,Colts,306.6M,AFC South,8,9,
2016,Titans,141.5M,AFC South,9,7,
2017,Titans,167.0M,AFC South,9,7,
2018,Titans,187.4M,AFC South,9,7,
2019,Titans,209.5M,AFC South,9,7,
2020,Titans,220.9M,AFC South,11,5,
2021,Titans,203.9M,AFC South,12,5,
2022,Titans,238.2M,AFC South,7,10,
2023,Titans,221.6M,AFC South,6,11,
2024,Titans,258.0M,AFC South,3,14,
2025,Titans,280.6M,AFC South,3,14,
2016,Jaguars,168.5M,AFC South,3,13,
2017,Jaguars,181.6M,AFC South,10,6,
2018,Jaguars,216.3M,AFC South,5,11,
2019,Jaguars,203.4M,AFC South,6,10,
2020,Jaguars,168.4M,AFC South,1,15,
2021,Jaguars,216.3M,AFC South,3,14,
2022,Jaguars,257.9M,AFC South,9,8,
2023,Jaguars,241.4M,AFC South,9,8,
2024,Jaguars,318.2M,AFC South,4,13,
2025,Jaguars,351.3M,AFC South,13,4,
2016,Chiefs,173.2M,AFC West,12,4,
2017,Chiefs,159.6M,AFC West,10,6,
2018,Chiefs,182.3M,AFC West,12,4,
2019,Chiefs,181.5M,AFC West,12,4,
2020,Chiefs,202.8M,AFC West,14,2,
2021,Chiefs,203.6M,AFC West,12,5,
2022,Chiefs,223.1M,AFC West,14,3,
2023,Chiefs,240.1M,AFC West,11,6,
2024,Chiefs,293.8M,AFC West,15,2,
2025,Chiefs,326.3M,AFC West,6,11,
2016,Broncos,179.4M,AFC West,9,7,
2017,Broncos,154.6M,AFC West,5,11,
2018,Broncos,197.3M,AFC West,6,10,
2019,Broncos,182.4M,AFC West,7,9,
2020,Broncos,206.0M,AFC West,5,11,
2021,Broncos,201.5M,AFC West,7,10,
2022,Broncos,240.9M,AFC West,5,12,
2023,Broncos,230.5M,AFC West,8,9,
2024,Broncos,268.1M,AFC West,10,7,
2025,Broncos,319.2M,AFC West,14,3,
2016,Chargers,171.0M,AFC West,5,11,
2017,Chargers,159.9M,AFC West,9,7,
2018,Chargers,161.2M,AFC West,12,4,
2019,Chargers,166.0M,AFC West,5,11,
2020,Chargers,247.1M,AFC West,7,9,
2021,Chargers,178.1M,AFC West,9,8,
2022,Chargers,260.0M,AFC West,10,7,
2023,Chargers,246.2M,AFC West,5,12,
2024,Chargers,238.9M,AFC West,11,6,
2025,Chargers,302.7M,AFC West,11,6,
2016,Raiders,159.5M,AFC West,12,4,
2017,Raiders,171.9M,AFC West,6,10,
2018,Raiders,184.2M,AFC West,4,12,
2019,Raiders,189.9M,AFC West,7,9,
2020,Raiders,234.9M,AFC West,8,8,
2021,Raiders,196.8M,AFC West,10,7,
2022,Raiders,222.0M,AFC West,6,11,
2023,Raiders,248.0M,AFC West,8,9,
2024,Raiders,213.4M,AFC West,4,13,
2025,Raiders,280.4M,AFC West,3,14,
2016,Commanders,149.9M,NFC East,8,7,
2017,Commanders,182.5M,NFC East,7,9,
2018,Commanders,186.1M,NFC East,7,9,
