YEAR,TEAM,SPENDING (in millions),DIVISION,WINS,LOSSES
2016,Bills,$159.66,AFC East,7,9
2017,Bills,$149.02,AFC East,9,7
2018,Bills,$154.41,AFC East,6,10
2019,Bills,$186.33,AFC East,10,6
2020,Bills,$223.20,AFC East,13,3
2021,Bills,$225.57,AFC East,11,6
2022,Bills,$276.22,AFC East,13,3
2023,Bills,$282.38,AFC East,11,6
2024,Bills,$285.25,AFC East,13,4
2025,Bills,$342.53,AFC East,12,5
2016,Patriots,$139.95,AFC East,14,2
2017,Patriots,$179.91,AFC East,13,3
2018,Patriots,$178.23,AFC East,11,5
2019,Patriots,$202.17,AFC East,12,4
2020,Patriots,$164.10,AFC East,7,9
2021,Patriots,$235.12,AFC East,10,7
2022,Patriots,$209.88,AFC East,8,9
2023,Patriots,$196.73,AFC East,4,13
2024,Patriots,$284.81,AFC East,4,13
2025,Patriots,$314.47,AFC East,14,3
2016,Dolphins,$142.42,AFC East,10,6
2017,Dolphins,$188.29,AFC East,6,10
2018,Dolphins,$173.92,AFC East,7,9
2019,Dolphins,$156.30,AFC East,5,11
2020,Dolphins,$232.29,AFC East,10,6
2021,Dolphins,$208.17,AFC East,9,8
2022,Dolphins,$255.10,AFC East,9,8
2023,Dolphins,$263.56,AFC East,11,6
2024,Dolphins,$319.35,AFC East,8,9
2025,Dolphins,$313.48,AFC East,7,10
2016,Jets,$173.08,AFC East,5,11
2017,Jets,$139.36,AFC East,5,11
2018,Jets,$183.73,AFC East,4,12
2019,Jets,$203.53,AFC East,7,9
2020,Jets,$180.00,AFC East,2,14
2021,Jets,$202.64,AFC East,4,13
2022,Jets,$259.56,AFC East,7,10
2023,Jets,$280.77,AFC East,7,10
2024,Jets,$268.70,AFC East,5,12
2025,Jets,$256.73,AFC East,3,14
2016,Ravens,$166.56,AFC North,8,8
2017,Ravens,$157.25,AFC North,9,7
2018,Ravens,$146.91,AFC North,10,6
2019,Ravens,$193.75,AFC North,14,2
2020,Ravens,$222.43,AFC North,11,5
2021,Ravens,$216.23,AFC North,8,9
2022,Ravens,$226.31,AFC North,10,7
2023,Ravens,$292.50,AFC North,13,4
2024,Ravens,$256.95,AFC North,12,5
2025,Ravens,$313.52,AFC North,8,9
2016,Steelers,$144.77,AFC North,11,5
2017,Steelers,$161.99,AFC North,13,3
2018,Steelers,$177.70,AFC North,9,6
2019,Steelers,$205.33,AFC North,8,8
2020,Steelers,$187.05,AFC North,12,4
2021,Steelers,$181.27,AFC North,9,7
2022,Steelers,$228.51,AFC North,9,8
2023,Steelers,$231.57,AFC North,10,7
2024,Steelers,$225.45,AFC North,10,7
2025,Steelers,$304.99,AFC North,10,7
2016,Bengals,$152.18,AFC North,6,9
2017,Bengals,$160.39,AFC North,7,9
2018,Bengals,$187.92,AFC North,6,10
2019,Bengals,$198.05,AFC North,2,14
2020,Bengals,$234.56,AFC North,4,11
2021,Bengals,$196.91,AFC North,10,7
2022,Bengals,$193.36,AFC North,12,4
2023,Bengals,$258.78,AFC North,9,8
2024,Bengals,$289.50,AFC North,9,8
2025,Bengals,$293.30,AFC North,6,11
2016,Browns,$114.92,AFC North,1,15
2017,Browns,$185.55,AFC North,0,16
2018,Browns,$207.07,AFC North,7,8
2019,Browns,$183.30,AFC North,6,10
2020,Browns,$225.33,AFC North,11,5
2021,Browns,$238.94,AFC North,8,9
2022,Browns,$278.05,AFC North,7,10
2023,Browns,$293.53,AFC North,11,6
2024,Browns,$345.68,AFC North,3,14
2025,Browns,$319.67,AFC North,5,12
2016,Texans,$147.10,AFC South,9,7
2017,Texans,$141.31,AFC South,4,12
2018,Texans,$162.97,AFC South,11,5
2019,Texans,$202.56,AFC South,10,6
2020,Texans,$261.74,AFC South,4,12
2021,Texans,$185.95,AFC South,4,13
2022,Texans,$207.72,AFC South,3,13
2023,Texans,$282.37,AFC South,10,7
2024,Texans,$295.82,AFC South,10,7
2025,Texans,$310.92,AFC South,12,5
2016,Colts,$158.92,AFC South,8,8
2017,Colts,$155.82,AFC South,4,12
2018,Colts,$147.22,AFC South,10,6
2019,Colts,$192.82,AFC South,7,9
2020,Colts,$221.79,AFC South,11,5
2021,Colts,$223.64,AFC South,9,8
2022,Colts,$219.86,AFC South,4,12
2023,Colts,$239.62,AFC South,9,8
2024,Colts,$259.33,AFC South,8,9
2025,Colts,$306.57,AFC South,8,9
2016,Titans,$141.53,AFC South,9,7
2017,Titans,$167.00,AFC South,9,7
2018,Titans,$187.36,AFC South,9,7
2019,Titans,$209.54,AFC South,9,7
2020,Titans,$220.88,AFC South,11,5
2021,Titans,$203.93,AFC South,12,5
2022,Titans,$238.21,AFC South,7,10
2023,Titans,$221.56,AFC South,6,11
2024,Titans,$257.96,AFC South,3,14
2025,Titans,$280.63,AFC South,3,14
2016,Jaguars,$168.46,AFC South,3,13
2017,Jaguars,$181.58,AFC South,10,6
2018,Jaguars,$216.28,AFC South,5,11
2019,Jaguars,$203.44,AFC South,6,10
2020,Jaguars,$168.40,AFC South,1,15
2021,Jaguars,$216.30,AFC South,3,14
2022,Jaguars,$257.95,AFC South,9,8
2023,Jaguars,$241.42,AFC South,9,8
2024,Jaguars,$318.20,AFC South,4,13
2025,Jaguars,$351.29,AFC South,13,4
2016,Chiefs,$173.20,AFC West,12,4
2017,Chiefs,$159.57,AFC West,10,6
2018,Chiefs,$182.31,AFC West,12,4
2019,Chiefs,$181.49,AFC West,12,4
2020,Chiefs,$202.79,AFC West,14,2
2021,Chiefs,$203.58,AFC West,12,5
2022,Chiefs,$223.12,AFC West,14,3
2023,Chiefs,$240.10,AFC West,11,6
2024,Chiefs,$293.79,AFC West,15,2
2025,Chiefs,$326.30,AFC West,6,11
2016,Broncos,$179.44,AFC West,9,7
2017,Broncos,$154.64,AFC West,5,11
2018,Broncos,$197.31,AFC West,6,10
2019,Broncos,$182.44,AFC West,7,9
2020,Broncos,$205.99,AFC West,5,11
2021,Broncos,$201.55,AFC West,7,10
2022,Broncos,$240.86,AFC West,5,12
2023,Broncos,$230.47,AFC West,8,9
2024,Broncos,$268.10,AFC West,10,7
2025,Broncos,$319.24,AFC West,14,3
2016,Chargers,$170.98,AFC West,5,11
2017,Chargers,$159.90,AFC West,9,7
2018,Chargers,$161.20,AFC West,12,4
2019,Chargers,$165.98,AFC West,5,11
2020,Chargers,$247.15,AFC West,7,9
2021,Chargers,$178.12,AFC West,9,8
2022,Chargers,$259.99,AFC West,10,7
2023,Chargers,$246.23,AFC West,5,12
2024,Chargers,$238.94,AFC West,11,6
2025,Chargers,$302.67,AFC West,11,6
2016,Raiders,$159.54,AFC West,12,4
2017,Raiders,$171.93,AFC West,6,10
2018,Raiders,$184.17,AFC West,4,12
2019,Raiders,$189.94,AFC West,7,9
2020,Raiders,$234.94,AFC West,8,8
2021,Raiders,$196.78,AFC West,10,7
2022,Raiders,$222.04,AFC West,6,11
2023,Raiders,$247.97,AFC West,8,9
